iter	Accuracy	Logloss
0	0.8067801763	0.6285067101
1	0.8064761326	0.5850993174
2	0.8064761326	0.55484439
3	0.8064761326	0.5332958319
4	0.8064761326	0.5192946419
5	0.8064761326	0.5082353732
6	0.8064761326	0.4986640439
7	0.8064761326	0.4920775487
8	0.8064761326	0.4876206087
9	0.8064761326	0.4851603791
10	0.8064761326	0.4835628564
11	0.8064761326	0.4811007789
12	0.8064761326	0.479499622
13	0.8064761326	0.4789871838
14	0.8064761326	0.4769547315
15	0.8064761326	0.4750867569
16	0.8064761326	0.4740433032
17	0.8064761326	0.4723109722
18	0.8064761326	0.4722377346
19	0.8064761326	0.472162633
20	0.8064761326	0.471608526
21	0.8064761326	0.471237275
22	0.8064761326	0.4712202224
23	0.8064761326	0.4709499265
24	0.8064761326	0.4702364245
25	0.8064761326	0.4691491746
26	0.8064761326	0.4682435976
27	0.8064761326	0.4672728606
28	0.8064761326	0.4672718538
29	0.8064761326	0.4660822607
30	0.8064761326	0.4645995408
31	0.8064761326	0.4633129948
32	0.8064761326	0.4632349678
33	0.8064761326	0.4623499603
34	0.8064761326	0.4623120193
35	0.8064761326	0.4619024798
36	0.8064761326	0.461681252
37	0.8064761326	0.4614202162
38	0.8064761326	0.4614201551
39	0.8064761326	0.4609377879
40	0.8064761326	0.4602858293
41	0.8064761326	0.4597845914
42	0.8064761326	0.4593229275
43	0.8064761326	0.4593229143
44	0.8064761326	0.4592934706
45	0.8064761326	0.4592913888
46	0.8064761326	0.4592750564
47	0.8064761326	0.4591081227
48	0.8064761326	0.4590282898
49	0.8064761326	0.4588507286
50	0.8064761326	0.4581684482
51	0.8064761326	0.4578392992
52	0.8064761326	0.4577158577
53	0.8064761326	0.4560256032
54	0.8064761326	0.4557904595
55	0.8064761326	0.4553022732
56	0.8064761326	0.4540843253
57	0.8064761326	0.453939721
58	0.8064761326	0.4539219106
59	0.8064761326	0.45330638
60	0.8064761326	0.4532707406
61	0.8064761326	0.4532707212
62	0.8064761326	0.4532707075
63	0.8066281545	0.4521359597
64	0.8066281545	0.4519924487
65	0.8066281545	0.4516960446
66	0.8066281545	0.4516960214
67	0.8066281545	0.450538404
68	0.8067801763	0.4504226159
69	0.8067801763	0.4501545709
70	0.8067801763	0.4501294913
71	0.8066281545	0.4494978364
72	0.8069321982	0.4492543594
73	0.8067801763	0.4492210928
74	0.8069321982	0.4484457203
75	0.8067801763	0.4479368066
76	0.8070842201	0.4470877542
77	0.8069321982	0.4457552414
78	0.8069321982	0.4457549647
79	0.8069321982	0.4455278737
80	0.8069321982	0.4446283965
81	0.807236242	0.4438510295
82	0.8073882639	0.4423284014
83	0.807236242	0.4418282828
84	0.807236242	0.4416856896
85	0.8079963515	0.4407287365
86	0.8081483734	0.4400292702
87	0.8081483734	0.4389784098
88	0.8081483734	0.4382297248
89	0.8081483734	0.4374177929
90	0.8081483734	0.4371950931
91	0.8079963515	0.4362481605
92	0.8079963515	0.436205722
93	0.8081483734	0.4359206334
94	0.8081483734	0.4352438559
95	0.8084524171	0.4351209531
96	0.8087564609	0.4347651694
97	0.808604439	0.4343215138
98	0.8087564609	0.4339082075
99	0.8090605047	0.4329695744
100	0.8090605047	0.4325325223
101	0.8089084828	0.4319497048
102	0.8090605047	0.4312776151
103	0.8092125266	0.4305976721
104	0.8090605047	0.4305475947
105	0.8093645485	0.4300642343
106	0.8093645485	0.4300641642
107	0.8096685923	0.4296129054
108	0.8093645485	0.4288339993
109	0.8095165704	0.4282225088
110	0.8093645485	0.42784242
111	0.8093645485	0.427528411
112	0.8092125266	0.4273441751
113	0.8093645485	0.4264583505
114	0.8099726361	0.4262594635
115	0.8102766798	0.4260241052
116	0.8102766798	0.4260240962
117	0.8099726361	0.4258989153
118	0.8102766798	0.4257924965
119	0.8105807236	0.4251173899
120	0.8105807236	0.4249824917
121	0.8105807236	0.4245964052
122	0.8110367893	0.4241009647
123	0.8111888112	0.4238782326
124	0.8113408331	0.4236131741
125	0.8113408331	0.4236131582
126	0.811492855	0.4230670585
127	0.811492855	0.4224930425
128	0.8113408331	0.4220427737
129	0.8119489206	0.4215433079
130	0.8121009425	0.4213363757
131	0.8119489206	0.4212468249
132	0.8125570082	0.4205728403
133	0.8125570082	0.4200315697
134	0.8124049863	0.419307504
135	0.8131650958	0.4186924456
136	0.8131650958	0.4186885055
137	0.8131650958	0.4186884914
138	0.8124049863	0.4183909497
139	0.8127090301	0.4182080375
140	0.8124049863	0.4181804
141	0.8133171177	0.417782819
142	0.8137731833	0.4170300379
143	0.8136211614	0.4168011221
144	0.8139252052	0.4163913442
145	0.8139252052	0.4160166373
146	0.8143812709	0.4154796982
147	0.814229249	0.4147469055
148	0.8140772271	0.4144103969
149	0.8143812709	0.4140926241
150	0.814229249	0.4138186475
151	0.8148373366	0.4137622261
152	0.8149893585	0.4137351163
153	0.8146853147	0.4136489519
154	0.8145332928	0.4129595917
155	0.8148373366	0.4125136261
156	0.8149893585	0.4120021195
157	0.8149893585	0.4118819965
158	0.8149893585	0.4118681725
159	0.8149893585	0.4118681697
160	0.8149893585	0.4115936594
161	0.8149893585	0.4110932785
162	0.8149893585	0.410979276
163	0.8151413804	0.4104842236
164	0.8148373366	0.4098793219
165	0.8149893585	0.4093091467
166	0.8146853147	0.4086616921
167	0.8148373366	0.4080461727
168	0.8151413804	0.407697343
169	0.8152934022	0.4074168993
170	0.815597446	0.4071800405
171	0.8157494679	0.4070305499
172	0.8162055336	0.4067802495
173	0.8157494679	0.4063532447
174	0.8159014898	0.4060368514
175	0.8160535117	0.4052169092
176	0.8163575555	0.4047694027
177	0.8168136212	0.4040318836
178	0.8168136212	0.4032570703
179	0.8172696868	0.4030427806
180	0.8180297963	0.4025429217
181	0.8177257525	0.402341624
182	0.8178777744	0.4020702888
183	0.8178777744	0.4015918478
184	0.8180297963	0.4013534281
185	0.8177257525	0.4012345722
186	0.8178777744	0.4012322125
187	0.8180297963	0.4010879937
188	0.8181818182	0.4006036958
189	0.8193979933	0.3998876533
190	0.8193979933	0.3995634237
191	0.8197020371	0.3992489349
192	0.8197020371	0.3989205187
193	0.8197020371	0.3984654598
194	0.8200060809	0.397690035
195	0.8201581028	0.3975726104
196	0.8200060809	0.3975098262
197	0.819854059	0.3970784553
198	0.819854059	0.3969456706
199	0.819854059	0.3965514173
200	0.8200060809	0.396370396
201	0.8200060809	0.3959862366
202	0.8207661903	0.3957510118
203	0.8209182122	0.3953924892
204	0.8210702341	0.3951024137
205	0.821222256	0.3950229096
206	0.8215262998	0.3948430305
207	0.8215262998	0.3948430249
208	0.8221343874	0.3946301596
209	0.8219823655	0.3939546344
210	0.8227424749	0.3936259041
211	0.8227424749	0.3931217469
212	0.8224384311	0.3927543049
213	0.8219823655	0.392510451
214	0.8219823655	0.3924984262
215	0.8221343874	0.3924595378
216	0.8222864092	0.391988728
217	0.8222864092	0.3917297114
218	0.8227424749	0.3911764922
219	0.8230465187	0.3907803576
220	0.8224384311	0.3904109259
221	0.8224384311	0.3902109233
222	0.822590453	0.3898637931
223	0.822590453	0.3891008356
224	0.8224384311	0.3885369257
225	0.8231985406	0.3882643682
226	0.8231985406	0.3881380559
227	0.8236546063	0.3879582291
228	0.82395865	0.3874979969
229	0.82395865	0.3870012719
230	0.82395865	0.3864751224
231	0.8241106719	0.3864258922
232	0.82395865	0.386081152
233	0.8236546063	0.3860170573
234	0.8236546063	0.3858959171
235	0.8242626938	0.3856926536
236	0.8242626938	0.3856926535
237	0.8235025844	0.3853402653
238	0.82395865	0.3849545612
239	0.82395865	0.3849545603
240	0.8241106719	0.3846844762
241	0.8244147157	0.3842921781
242	0.8241106719	0.3841566278
243	0.8242626938	0.3839827941
244	0.82395865	0.3838142861
245	0.82395865	0.3836890456
246	0.8236546063	0.3833512883
247	0.8238066282	0.3830425776
248	0.8233505625	0.3827165626
249	0.8231985406	0.3826660716
250	0.8230465187	0.3825511395
251	0.8247187595	0.3818662068
252	0.8244147157	0.381828564
253	0.8248707814	0.3814466578
254	0.8248707814	0.3813603651
255	0.8248707814	0.3813603322
256	0.8253268471	0.3809384292
257	0.825478869	0.3809213618
258	0.8251748252	0.3808341716
259	0.8253268471	0.3807406511
260	0.8253268471	0.3807075938
261	0.8251748252	0.3805521649
262	0.8251748252	0.3804613426
263	0.8253268471	0.3801236556
264	0.8256308908	0.3799805958
265	0.8256308908	0.3799064076
266	0.825478869	0.3797785428
267	0.8256308908	0.379533307
268	0.8248707814	0.3790255431
269	0.8248707814	0.3790254932
