iter	Passed	Remaining
0	5	23904
1	9	18070
2	14	19388
3	20	20379
4	22	18319
5	27	18221
6	32	18806
7	38	19172
8	43	19494
9	48	19451
10	51	18521
11	56	18692
12	60	18619
13	62	17912
14	68	18247
15	72	18030
16	78	18332
17	84	18697
18	86	18072
19	89	17745
20	92	17507
21	97	17676
22	99	17210
23	102	16910
24	107	17121
25	111	17117
26	117	17346
27	123	17472
28	124	17114
29	128	16974
30	131	16891
31	137	17026
32	140	16853
33	145	16992
34	147	16763
35	153	16868
36	158	16948
37	162	16989
38	164	16711
39	169	16771
40	173	16755
41	177	16717
42	181	16716
43	183	16498
44	185	16338
45	188	16171
46	190	15980
47	192	15830
48	194	15672
49	198	15665
50	204	15818
51	210	15945
52	212	15855
53	216	15832
54	221	15871
55	223	15774
56	227	15744
57	232	15795
58	235	15702
59	239	15726
60	242	15631
61	243	15475
62	245	15366
63	251	15460
64	254	15405
65	259	15488
66	261	15358
67	264	15305
68	267	15248
69	273	15367
70	275	15255
71	280	15276
72	284	15291
73	286	15214
74	290	15205
75	293	15159
76	298	15226
77	303	15238
78	304	15129
79	307	15072
80	312	15134
81	318	15198
82	321	15191
83	327	15279
84	330	15239
85	335	15281
86	341	15362
87	347	15458
88	353	15552
89	358	15568
90	361	15529
91	365	15536
92	368	15501
93	372	15479
94	378	15539
95	380	15466
96	385	15528
97	391	15598
98	395	15596
99	401	15650
100	403	15581
101	409	15632
102	413	15649
103	418	15685
104	421	15629
105	426	15676
106	428	15585
107	433	15625
108	437	15632
109	442	15647
110	447	15687
111	453	15743
112	458	15757
113	462	15757
114	464	15706
115	468	15700
116	470	15619
117	476	15680
118	479	15630
119	483	15636
120	487	15619
121	491	15619
122	496	15663
123	503	15725
124	508	15778
125	510	15704
126	516	15758
127	520	15731
128	525	15771
129	529	15772
130	534	15797
131	538	15786
132	541	15756
133	547	15791
134	551	15782
135	556	15798
136	558	15735
137	559	15661
138	563	15638
139	567	15633
140	569	15594
141	574	15618
142	580	15661
143	587	15725
144	593	15770
145	598	15808
146	603	15813
147	607	15802
148	612	15838
149	616	15819
150	621	15832
151	623	15793
152	626	15745
153	629	15712
154	634	15746
155	638	15742
156	644	15775
157	648	15773
158	650	15720
159	652	15654
160	657	15689
161	662	15698
162	668	15730
163	674	15769
164	679	15799
165	684	15804
166	690	15845
167	694	15831
168	697	15811
169	703	15839
170	707	15847
171	713	15883
172	719	15913
173	725	15951
174	730	15962
